id,date,country,deaths
1665,2020-10-16,Spain,222
1666,2020-10-16,United Kingdom,136
1667,2020-10-16,France,179
1668,2020-10-16,US,883
1669,2020-10-17,Italy,47
1670,2020-10-17,"Korea, South",1
1671,2020-10-17,Spain,0
1672,2020-10-17,United Kingdom,150
1673,2020-10-17,France,0
1674,2020-10-17,US,711
1675,2020-10-18,Italy,69
1676,2020-10-18,"Korea, South",0
1677,2020-10-18,Spain,0
1678,2020-10-18,United Kingdom,67
1679,2020-10-18,France,0
1680,2020-10-18,US,388
1681,2020-10-19,Italy,73
1682,2020-10-19,"Korea, South",3
1683,2020-10-19,Spain,217
1684,2020-10-19,United Kingdom,80
1685,2020-10-19,France,322
1686,2020-10-19,US,445
1687,2020-10-20,Italy,89
1688,2020-10-20,"Korea, South",3
1689,2020-10-20,Spain,218
1690,2020-10-20,United Kingdom,241
1691,2020-10-20,France,281
1692,2020-10-20,US,933
1693,2020-10-21,Italy,127
1694,2020-10-21,"Korea, South",3
1695,2020-10-21,Spain,156
1696,2020-10-21,United Kingdom,191
1697,2020-10-21,France,147
1698,2020-10-21,US,1124
1699,2020-10-22,Italy,136
1700,2020-10-22,"Korea, South",2
1701,2020-10-22,Spain,155
1702,2020-10-22,United Kingdom,189
1703,2020-10-22,France,162
1704,2020-10-22,US,856
1705,2020-10-23,Italy,91
1706,2020-10-23,"Korea, South",2
1707,2020-10-23,Spain,231
1708,2020-10-23,United Kingdom,224
1709,2020-10-23,France,299
1710,2020-10-23,US,943
1711,2020-10-24,Italy,151
1712,2020-10-24,"Korea, South",0
1713,2020-10-24,Spain,0
1714,2020-10-24,United Kingdom,174
1715,2020-10-24,France,0
1716,2020-10-24,US,914
1717,2020-10-25,Italy,128
1718,2020-10-25,"Korea, South",0
1719,2020-10-25,Spain,0
1720,2020-10-25,United Kingdom,151
1721,2020-10-25,France,137
1722,2020-10-25,US,340
1723,2020-10-26,Italy,141
1724,2020-10-26,"Korea, South",3
1725,2020-10-26,Spain,279
1726,2020-10-26,United Kingdom,102
1727,2020-10-26,France,516
1728,2020-10-26,US,477
1729,2020-10-27,Italy,221
1730,2020-10-27,"Korea, South",1
1731,2020-10-27,Spain,267
1732,2020-10-27,United Kingdom,367
1733,2020-10-27,France,530
